Security Code,Issuer Name,Security Id,Security Name,ISIN No
542670,Artemis Electricals and Projects Limited,AEPL,Artemis Electricals and Projects Ltd,INE757T01017
542677,Mahesh Developers Limited,MAHESH,Mahesh Developers Ltd,INE01MO01013
542678,Cian Healthcare Limited,CHCL,Cian Healthcare Ltd,INE05BN01019
542679,Dhanashree Electronics Limited,DEL,Dhanashree Electronics Ltd,INE413F01016
542682,Harish Textile Engineers Limited,HARISH,Harish Textile Engineers Ltd,INE01K301012
542684,Prakash Pipes Limited,PPL,Prakash Pipes Ltd,INE050001010
542685,Digicontent Limited,DGCONTENT,Digicontent Ltd,INE03JI01017
542694,Parshva Enterprises Limited,PARSHVA,Parshva Enterprises Ltd,INE05MV01019
542721,Anand Rayons Limited,ARL,Anand Rayons Ltd,INE02GA01012
542724,Earum Pharmaceuticals Limited,EARUM,Earum Pharmaceuticals Ltd,INE060601023
542725,SBC EXPORTS LIMITED,SBC,SBC Exports Ltd,INE04AK01028
542726,IndiaMART InterMESH Limited,INDIAMART,IndiaMART InterMESH Ltd,INE933S01016
542727,City Pulse Multiplex Limited,CPML,City Pulse Multiplex Ltd,INE056001014
542728,SK International Export Limited,SKIEL,SK International Export Ltd,INE04ST01013
542729,DCM NOUVELLE LIMITED,DCMNVL,DCM Nouvelle Ltd,INE08KP01019
542730,ICICI Prudential Mutual Fund,ICICIBANKN,ICICI Prudential Nifty Bank ETF,INF109KC15I8
542747,Nippon India Mutual Fund,SNXT50BEES,Nippon India ETF S&P BSE Sensex Next 50,INF204KB15D0
542752,Affle (India) Limited,AFFLE,Affle (India) Ltd,INE00WC01027
542753,SEACOAST SHIPPING SERVICES LIMITED,SEACOAST,Seacoast Shipping Services Ltd,INE277T01024
542758,ICICI Prudential Mutual Fund,ICICIBANKP,ICICI Prudential Nifty Private Bank ETF,INF109KC1E35
542759,Spandana Sphoorty Financial Limited,SPANDANA,Spandana Sphoorty Financial Ltd,INE572J01011
542760,STERLING AND WILSON RENEWABLE ENERGY LIMITED,SWSOLAR,Sterling and Wilson Renewable Energy Ltd,INE00M201021
542770,Alphalogic Techsys Limited,ALPHALOGIC,Alphalogic Techsys Ltd,INE08E401029
542771,Novateor Research Laboratories Limited,NOVATEOR,Novateor Research Laboratories Ltd,INE08JY01013
542772,360 ONE WAM LIMITED,360ONE,360 ONE WAM LTD,INE466L01038
542773,IIFL Securities Limited,IIFLSEC,IIFL Securities Ltd,INE489L01022
542774,MUFIN GREEN FINANCE LIMITED,MUFIN,Mufin Green Finance Ltd,INE08KJ01012
542801,Misquita Engineering Limited,MISQUITA,Misquita Engineering Ltd,INE957W01025
542802,Galactico Corporate Services Limited,GALACTICO,Galactico Corporate Services Ltd,INE906Y01028
542803,Vaxfab Enterprises Limited,VEL,Vaxfab Enterprises Ltd,INE560T01015
542804,Nippon India Mutual Fund,NIESSPJ,NIPPON INDIA EQUITY SAVINGS FUND - SEGREGATED PORTFOLIO 1 - DIVIDEND PLANDIVIDEND PAYOUT,INF204KB12F2
